#------it------------------t-----------------------dt---------------------xq1---------------------yq1---------------------vxq1--------------------vyq1--------------------xq2---------------------yq2---------------------vxq2--------------------vyq2----------
             0   0.0000000000000000E+00  1.0000000000000000E-02  2.8571428571399998E-01  0.0000000000000000E+00  0.0000000000000000E+00  2.8571428571399998E-01 -7.1428571428599996E-01  0.0000000000000000E+00  0.0000000000000000E+00 -7.1428571428599996E-01
         12000   1.1999999999994499E+02  1.0000000000000000E-02  2.3254732064452080E-01  1.6599273550469715E-01 -1.6599396801369284E-01  2.3254903983581235E-01 -5.8136830161212349E-01 -4.1498183876232569E-01  4.1498492003480941E-01 -5.8137259959035414E-01
         13000   1.2999999999993591E+02  1.0000000000000000E-02 -1.0479951391688284E-01 -2.6579845364493410E-01  2.6580066632058313E-01 -1.0480035121529432E-01  2.6199878479256783E-01  6.6449613411326691E-01 -6.6450166580239456E-01  2.6200087803859184E-01
         14000   1.3999999999992681E+02  1.0000000000000000E-02 -5.6689303876076472E-02  2.8003220680267593E-01 -2.8003460563463978E-01 -5.6689818467774836E-02  1.4172325969038244E-01 -7.0008051700766682E-01  7.0008651408757083E-01  1.4172454616962735E-01
         15000   1.4999999999991772E+02  1.0000000000000000E-02  1.9992823043646341E-01 -2.0410861210861095E-01  2.0411054499611558E-01  1.9993013388298519E-01 -4.9982057609186686E-01  5.1027153027224181E-01 -5.1027636249101183E-01 -4.9982533470816937E-01
         16000   1.5999999999990862E+02  1.0000000000000000E-02 -2.7879942151666554E-01  6.2469594326398807E-02 -6.2470170817454949E-02 -2.7880220939465289E-01  6.9699855379263087E-01 -1.5617398581621703E-01  1.5617542704384699E-01  6.9700552348760203E-01
         17000   1.6999999999989953E+02  1.0000000000000000E-02  2.6790705667161041E-01  9.9283987665527165E-02 -9.9285038263575126E-02  2.6790988745805105E-01 -6.6976764167997160E-01 -2.4820996916416715E-01  2.4821259565927861E-01 -6.6977471864607252E-01
         18000   1.7999999999989043E+02  1.0000000000000000E-02 -1.7075551498466623E-01 -2.2907197946159899E-01  2.2907460985860056E-01 -1.7075742815979530E-01  4.2688878746225306E-01  5.7267994865479677E-01 -5.7268652464731329E-01  4.2689357040007975E-01
         19000   1.8999999999988134E+02  1.0000000000000000E-02  1.8623094547653506E-02  2.8510446229032649E-01 -2.8510780205022401E-01  1.8623290532868150E-02 -4.6557736369209693E-02 -7.1276115572682186E-01  7.1276950512654835E-01 -4.6558226332238939E-02
         20000   1.9999999999987224E+02  1.0000000000000000E-02  1.3950706585117889E-01 -2.4933723975718763E-01  2.4934038695408825E-01  1.3950884084531959E-01 -3.4876766462844522E-01  6.2334309939383581E-01 -6.2335096738610118E-01 -3.4877210211379062E-01
         21000   2.0999999999986315E+02  1.0000000000000000E-02 -2.5271810215771778E-01  1.3328462659214374E-01 -1.3328632591555212E-01 -2.5272142025436634E-01  6.3179525539516634E-01 -3.3321156648082950E-01  3.3321581478934492E-01  6.3180355063679983E-01
