#------it------------------t-----------------------dt---------------------xq1---------------------yq1---------------------vxq1--------------------vyq1--------------------xq2---------------------yq2---------------------vxq2--------------------vyq2----------
         14000   1.0013999998735967E+05  1.0000000000000000E-02 -1.5708959941180681E-01  2.2350226686133715E-01 -2.3905217812870763E-01 -1.6801919161155313E-01  3.9272399853029488E-01 -5.5875566715419667E-01  5.9763044532265619E-01  4.2004797902979335E-01
         15000   1.0014999998735443E+05  1.0000000000000000E-02  2.5992364604114315E-01  8.4079663828712389E-02 -8.9930121243696953E-02  2.7800970223688681E-01 -6.4980911510354267E-01 -2.1019915957214927E-01  2.2482530310960547E-01 -6.9502425559287084E-01
         16000   1.0015999998734919E+05  1.0000000000000000E-02  3.5898863882672448E-03 -2.7315935874685471E-01  2.9216873309218849E-01  3.8398467763117276E-03 -8.9747159704528529E-03  6.8289839686801623E-01 -7.3042183273144334E-01 -9.5996169404711715E-03
         17000   1.0016999998734395E+05  1.0000000000000000E-02 -2.6204670372177202E-01  7.7200117686013980E-02 -8.2572741267654057E-02 -2.8028439431858193E-01  6.5511675930557456E-01 -1.9300029421538253E-01  2.0643185316947482E-01  7.0071098579775959E-01
         18000   1.0017999998733871E+05  1.0000000000000000E-02  1.5109266317319051E-01  2.2759327741889585E-01 -2.4343461414650866E-01  1.6160919652871980E-01 -3.7773165793327640E-01 -5.6898319354811078E-01  6.0858653536717178E-01 -4.0402299132203850E-01
         19000   1.0018999998733347E+05  1.0000000000000000E-02  1.7288338017909502E-01 -2.1151415970234377E-01  2.2623814407729495E-01  1.8491825637265358E-01 -4.3220845044811451E-01  5.2878539925652235E-01 -5.6559536019398160E-01 -4.6229564093195347E-01
         20000   1.0019999998732824E+05  1.0000000000000000E-02 -2.5309729852658341E-01 -1.0280082496772511E-01  1.0995799621947794E-01 -2.7071766636450539E-01  6.3274324631757206E-01  2.5700206241959833E-01 -2.7489499054903332E-01  6.7679416591254427E-01
         21000   1.0020999998732300E+05  1.0000000000000000E-02 -2.3591550291311849E-02  2.7215640286659293E-01 -2.9110535332361048E-01 -2.5234268541182669E-02  5.8978875728588023E-02 -6.8039100716751011E-01  7.2776338331008883E-01  6.3085671353378281E-02
         22000   1.0021999998731776E+05  1.0000000000000000E-02  2.6701330408459278E-01 -5.7695772141443169E-02  6.1713339751623734E-02  2.8560644718320544E-01 -6.6753326021218951E-01  1.4423943035373457E-01 -1.5428334937923249E-01 -7.1401611795868092E-01
         23000   1.0022999998731252E+05  1.0000000000000000E-02 -1.3383644655082044E-01 -2.3814278931260302E-01  2.5472756209740977E-01 -1.4315686681017026E-01  3.3459111637774619E-01  5.9535697328226400E-01 -6.3681890524437346E-01  3.5789216702625903E-01
         24000   1.0023999998730728E+05  1.0000000000000000E-02 -1.8812689391007750E-01  1.9807040830348083E-01 -2.1186534107116867E-01 -2.0122961526046007E-01  4.7031723477607729E-01 -4.9517602075947686E-01  5.2966335267870823E-01  5.0307403815218399E-01
