# it, index, xp, yp, rhopswarm, aps
4.207326000000000121e+00,1.000000000000000000e+00,9.992450000000000498e-01,1.779468999999999967e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.308463999999999849e+00,1.000000000000000000e+00,9.992079999999999851e-01,1.774399999999999977e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.409601999999999578e+00,1.000000000000000000e+00,9.991700000000000026e-01,1.769330999999999987e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.510739000000000054e+00,1.000000000000000000e+00,9.991309999999999913e-01,1.764261999999999997e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.611876999999999782e+00,1.000000000000000000e+00,9.990909999999999513e-01,1.759190999999999949e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.713015000000000398e+00,1.000000000000000000e+00,9.990499999999999936e-01,1.754121000000000041e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.814151999999999987e+00,1.000000000000000000e+00,9.990080000000000071e-01,1.749049000000000076e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.915289999999999715e+00,1.000000000000000000e+00,9.989660000000000206e-01,1.743977000000000110e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.016428000000000331e+00,1.000000000000000000e+00,9.989219999999999766e-01,1.738904999999999923e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.117564999999999920e+00,1.000000000000000000e+00,9.988780000000000436e-01,1.733832000000000040e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.218702999999999648e+00,1.000000000000000000e+00,9.988320000000000531e-01,1.728758000000000017e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.319841000000000264e+00,1.000000000000000000e+00,9.987859999999999516e-01,1.723683000000000076e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.400750999999999635e+00,1.000000000000000000e+00,9.987479999999999691e-01,1.719622999999999902e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.501888000000000112e+00,1.000000000000000000e+00,9.987000000000000322e-01,1.714547999999999961e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.603025999999999840e+00,1.000000000000000000e+00,9.986509999999999554e-01,1.709472000000000103e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.704163999999999568e+00,1.000000000000000000e+00,9.986009999999999609e-01,1.704395000000000104e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.805301000000000045e+00,1.000000000000000000e+00,9.985500000000000487e-01,1.699316999999999966e+00,0.000000000000000000e+00,0.000000000000000000e+00
