# t, l_px[0], l_py[0], l_vx[0], l_vy[0], l_px[1], l_py[1], l_vx[1], l_vy[1], l_aps[0], l_aps[1]
7.888737017008689456e+00,1.486773262431938205e-17,1.391143945625505544e-19,4.389070667973834046e-18,2.456242079345787450e-19,9.945608403385547414e-01,1.593516460680610924e+00,-1.424752678723257768e-03,-5.075937929533306386e-02,1.000000000000000056e-01,0.000000000000000000e+00
8.414652818142602797e+00,1.747589093326080600e-17,2.982797158924074304e-19,5.515433107216685643e-18,3.081998990036259650e-19,9.937831157259900960e-01,1.566794818292836844e+00,-1.533282159821771880e-03,-5.086114653238578420e-02,1.000000000000000056e-01,0.000000000000000000e+00
8.940568619276515250e+00,2.058645803909560085e-17,1.604902203256905725e-19,6.313711783004075015e-18,-8.321982092640608041e-19,9.929476125187349789e-01,1.540017990047731988e+00,-1.644510950194255595e-03,-5.096924213411764548e-02,1.000000000000000056e-01,0.000000000000000000e+00
9.426029358784742129e+00,2.372302628772363425e-17,-4.560846498604711188e-19,6.568108284079174701e-18,-1.691882937035087038e-18,9.921238253544379937e-01,1.515249061689160959e+00,-1.749749739344226779e-03,-5.107462540626563768e-02,1.000000000000000056e-01,0.000000000000000000e+00
9.951945159918654582e+00,2.723727355635154741e-17,-1.585773974004556861e-18,6.796187905732711660e-18,-2.604201423649234874e-18,9.911729841440162225e-01,1.488356771735948492e+00,-1.866725161974430898e-03,-5.119484666012964758e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.047786096105256703e+01,3.087147150192371919e-17,-3.195266005925601771e-18,7.024267527386255552e-18,-3.516519910263382710e-18,9.901597680236884358e-01,1.461399603888258847e+00,-1.986991372342792033e-03,-5.132134352934657195e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.100377676218647949e+01,3.484032473849710843e-17,-5.005444747349509471e-18,8.226656507180288961e-18,-3.193114703149521278e-18,9.890823877263751340e-01,1.434374266488563698e+00,-2.110772134116486055e-03,-5.145408246634620292e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.152969256332039194e+01,3.958235117478210276e-17,-6.654766555332807396e-18,9.761222987228716008e-18,-3.079074892322752798e-18,9.879389351894122262e-01,1.407277485199997624e+00,-2.238295055770494514e-03,-5.159303171456220555e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.205560836445430439e+01,4.490875270387234518e-17,-8.411144933961604262e-18,1.036943531163814739e-17,-3.725300487007777777e-18,9.867273817465151975e-01,1.380106001687427586e+00,-2.369791208123056547e-03,-5.173816220122949561e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.258152416558821685e+01,5.045433038113054324e-17,-1.051116898963480343e-17,1.074371981896702906e-17,-4.291990623885412068e-18,9.854455760214433369e-01,1.352856572510419131e+00,-2.505497472938269903e-03,-5.188944447474361926e-02,1.000000000000000056e-01,0.000000000000000000e+00
