# it, index, xp, yp, vx, vy, rhopswarm, aps
4.005050999999999917e+00,1.000000000000000000e+00,-9.972649999999999570e-01,1.789174000000000042e+00,1.378000000000000102e-03,-5.041099999999999748e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.126415999999999862e+00,1.000000000000000000e+00,-9.970949999999999536e-01,1.783055000000000057e+00,1.420999999999999954e-03,-5.043500000000000066e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.207326000000000121e+00,1.000000000000000000e+00,-9.969789999999999486e-01,1.778972999999999915e+00,1.449999999999999900e-03,-5.045199999999999685e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.328692000000000206e+00,1.000000000000000000e+00,-9.968010000000000481e-01,1.772848999999999897e+00,1.494000000000000102e-03,-5.047700000000000103e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.409601999999999578e+00,1.000000000000000000e+00,-9.966789999999999816e-01,1.768764000000000003e+00,1.523000000000000048e-03,-5.049399999999999722e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.530967000000000411e+00,1.000000000000000000e+00,-9.964910000000000156e-01,1.762634000000000034e+00,1.567000000000000033e-03,-5.052000000000000240e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.611876999999999782e+00,1.000000000000000000e+00,-9.963629999999999987e-01,1.758545999999999943e+00,1.595999999999999979e-03,-5.053799999999999959e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.733241999999999727e+00,1.000000000000000000e+00,-9.961670000000000247e-01,1.752410000000000023e+00,1.639999999999999965e-03,-5.056599999999999984e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.814151999999999987e+00,1.000000000000000000e+00,-9.960329999999999462e-01,1.748318000000000039e+00,1.668999999999999911e-03,-5.058499999999999802e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.935518000000000072e+00,1.000000000000000000e+00,-9.958280000000000465e-01,1.742177000000000087e+00,1.712999999999999896e-03,-5.061399999999999927e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.016428000000000331e+00,1.000000000000000000e+00,-9.956880000000000175e-01,1.738080999999999987e+00,1.742999999999999975e-03,-5.063299999999999745e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.137793000000000276e+00,1.000000000000000000e+00,-9.954739999999999700e-01,1.731935000000000002e+00,1.788000000000000093e-03,-5.066299999999999970e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.218702999999999648e+00,1.000000000000000000e+00,-9.953279999999999905e-01,1.727835000000000010e+00,1.817000000000000039e-03,-5.068299999999999889e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.340067999999999593e+00,1.000000000000000000e+00,-9.951050000000000173e-01,1.721681999999999935e+00,1.861999999999999940e-03,-5.071400000000000213e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.420977999999999852e+00,1.000000000000000000e+00,-9.949529999999999763e-01,1.717576999999999909e+00,1.892000000000000019e-03,-5.073500000000000232e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.501888000000000112e+00,1.000000000000000000e+00,-9.947979999999999601e-01,1.713470999999999966e+00,1.922000000000000097e-03,-5.075699999999999656e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.623254000000000197e+00,1.000000000000000000e+00,-9.945619999999999461e-01,1.707308999999999966e+00,1.968000000000000131e-03,-5.078900000000000081e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.704163999999999568e+00,1.000000000000000000e+00,-9.944020000000000081e-01,1.703198999999999907e+00,1.998000000000000210e-03,-5.081200000000000300e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.825529000000000401e+00,1.000000000000000000e+00,-9.941569999999999574e-01,1.697030000000000038e+00,2.043000000000000111e-03,-5.084500000000000131e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.906438999999999773e+00,1.000000000000000000e+00,-9.939900000000000402e-01,1.692914999999999948e+00,2.073999999999999889e-03,-5.086799999999999655e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.027803999999999718e+00,1.000000000000000000e+00,-9.937359999999999527e-01,1.686739999999999906e+00,2.119999999999999923e-03,-5.090299999999999686e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.108713999999999977e+00,1.000000000000000000e+00,-9.935629999999999740e-01,1.682620000000000005e+00,2.151000000000000134e-03,-5.092700000000000005e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.230078999999999922e+00,1.000000000000000000e+00,-9.932990000000000430e-01,1.676436999999999955e+00,2.197000000000000168e-03,-5.096300000000000135e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.310990000000000322e+00,1.000000000000000000e+00,-9.931200000000000028e-01,1.672312999999999938e+00,2.227999999999999946e-03,-5.098799999999999860e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.432355000000000267e+00,1.000000000000000000e+00,-9.928470000000000351e-01,1.666122000000000103e+00,2.273999999999999980e-03,-5.102500000000000091e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.513264999999999638e+00,1.000000000000000000e+00,-9.926620000000000443e-01,1.661993000000000054e+00,2.305000000000000191e-03,-5.104999999999999816e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.634629999999999583e+00,1.000000000000000000e+00,-9.923790000000000111e-01,1.655794999999999906e+00,2.351999999999999924e-03,-5.108800000000000147e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.715539999999999843e+00,1.000000000000000000e+00,-9.921870000000000411e-01,1.651659999999999906e+00,2.383999999999999835e-03,-5.111399999999999971e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.836904999999999788e+00,1.000000000000000000e+00,-9.918949999999999712e-01,1.645453999999999972e+00,2.431000000000000001e-03,-5.115399999999999808e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.917816000000000187e+00,1.000000000000000000e+00,-9.916970000000000507e-01,1.641313999999999940e+00,2.462999999999999912e-03,-5.118099999999999733e-02,0.000000000000000000e+00,0.000000000000000000e+00
