# it, index, xp, yp, vx, vy, rhopswarm, aps
1.213651999999999953e+00,1.000000000000000000e+00,9.999379999999999935e-01,1.929311999999999916e+00,-1.029999999999999964e-04,-5.001099999999999990e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.314789999999999903e+00,1.000000000000000000e+00,9.999270000000000103e-01,1.924253999999999909e+00,-1.110000000000000011e-04,-5.001300000000000190e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.415926999999999936e+00,1.000000000000000000e+00,9.999149999999999983e-01,1.919195999999999902e+00,-1.200000000000000030e-04,-5.001499999999999696e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.517065000000000108e+00,1.000000000000000000e+00,9.999029999999999863e-01,1.914136999999999977e+00,-1.279999999999999942e-04,-5.001699999999999896e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.618201999999999918e+00,1.000000000000000000e+00,9.998890000000000278e-01,1.909078999999999970e+00,-1.369999999999999961e-04,-5.001900000000000096e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.719340000000000090e+00,1.000000000000000000e+00,9.998749999999999583e-01,1.904020000000000046e+00,-1.459999999999999981e-04,-5.002100000000000296e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.800249999999999906e+00,1.000000000000000000e+00,9.998629999999999463e-01,1.899971999999999994e+00,-1.530000000000000056e-04,-5.002299999999999802e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.901388000000000078e+00,1.000000000000000000e+00,9.998470000000000413e-01,1.894913000000000070e+00,-1.610000000000000103e-04,-5.002500000000000002e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.002526000000000028e+00,1.000000000000000000e+00,9.998299999999999965e-01,1.889853000000000005e+00,-1.700000000000000122e-04,-5.002800000000000302e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.103663000000000061e+00,1.000000000000000000e+00,9.998129999999999518e-01,1.884794000000000080e+00,-1.789999999999999870e-04,-5.003099999999999908e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.204800999999999789e+00,1.000000000000000000e+00,9.997939999999999605e-01,1.879734000000000016e+00,-1.869999999999999917e-04,-5.003300000000000108e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.305938999999999961e+00,1.000000000000000000e+00,9.997749999999999693e-01,1.874673000000000034e+00,-1.959999999999999937e-04,-5.003599999999999715e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.407075999999999993e+00,1.000000000000000000e+00,9.997540000000000315e-01,1.869612000000000052e+00,-2.049999999999999956e-04,-5.003900000000000015e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.508214000000000166e+00,1.000000000000000000e+00,9.997329999999999828e-01,1.864551000000000069e+00,-2.130000000000000003e-04,-5.004200000000000315e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.609351000000000198e+00,1.000000000000000000e+00,9.997110000000000163e-01,1.859490000000000087e+00,-2.220000000000000022e-04,-5.004600000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.710488999999999926e+00,1.000000000000000000e+00,9.996880000000000210e-01,1.854427999999999965e+00,-2.310000000000000042e-04,-5.004900000000000321e-02,0.000000000000000000e+00,0.000000000000000000e+00
